"year","month","day","time","tank","temperature"
2016,12,29,900,29,2.3
2016,12,29,1610,29,2.2
2016,12,29,900,30,2.3
2016,12,29,1610,30,2.2
2016,12,29,900,31,2.4
2016,12,29,1610,31,2.2
2016,12,29,900,32,2.3
2016,12,29,1610,32,2.2
2016,12,29,900,33,2.3
2016,12,29,1610,33,2.1
2016,12,29,900,34,2.3
2016,12,29,1610,34,2.2
2016,12,29,900,35,2.3
2016,12,29,1610,35,2.2
2016,12,29,900,36,2.4
2016,12,29,1610,36,2.2
2016,12,30,915,1,2.2
2016,12,30,915,2,2.3
2016,12,30,915,3,2.2
2016,12,30,915,4,2.4
2016,12,30,915,5,2.3
2016,12,30,915,6,2.2
2016,12,30,915,7,2.3
2016,12,30,915,8,2.3
2016,12,30,915,9,2.2
2016,12,30,915,10,2.2
2016,12,30,915,11,2.2
2016,12,30,915,12,2.2
2016,12,30,915,13,2.1
2016,12,30,915,14,2.2
2016,12,30,915,15,2.3
2016,12,30,915,16,2.2
2016,12,30,915,17,2.3
2016,12,30,915,18,2.3
2016,12,30,915,19,2.2
2016,12,30,915,20,2.2
2016,12,30,915,21,2.2
2016,12,30,915,22,2.2
2016,12,30,915,23,2.3
2016,12,30,915,24,2.4
2016,12,30,915,25,2.3
2016,12,30,915,26,2.3
2016,12,30,915,27,2.2
2016,12,30,915,28,2.3
2016,12,30,915,29,2.2
2016,12,30,915,30,2.2
2016,12,30,915,31,2.3
2016,12,30,915,32,2.2
2016,12,30,915,33,2.2
2016,12,30,915,34,2.2
2016,12,30,915,35,2.2
2016,12,30,915,36,2.3
2016,12,31,840,1,2
2016,12,31,1620,1,2.4
2016,12,31,840,2,1.9
2016,12,31,1620,2,2.4
2016,12,31,840,3,1.8
2016,12,31,1620,3,2.4
2016,12,31,840,4,1.8
2016,12,31,1620,4,2.4
2016,12,31,840,5,1.8
2016,12,31,1620,5,2.4
2016,12,31,840,6,1.8
2016,12,31,1620,6,2.3
2016,12,31,840,7,1.8
2016,12,31,1620,7,2.4
2016,12,31,840,8,1.9
2016,12,31,1620,8,2.4
2016,12,31,840,9,2
2016,12,31,1620,9,2.4
2016,12,31,840,10,1.9
2016,12,31,1620,10,2.4
2016,12,31,840,11,2
2016,12,31,1620,11,2.4
2016,12,31,840,12,2
2016,12,31,1620,12,2.4
2016,12,31,840,13,1.9
2016,12,31,1620,13,2.4
2016,12,31,840,14,2
2016,12,31,1620,14,2.4
